Cycle,TimeCurrentTimetable_sigstats_ClearanceFactor,TimeCurrentTimetable_sigstats_CrestFactor,TimeCurrentTimetable_sigstats_ImpulseFactor,TimeCurrentTimetable_sigstats_Kurtosis,TimeCurrentTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue_FeatureTableC12,TimeCurrentTimetable_sigstats_RMS,TimeCurrentTimetable_sigstats_SINAD,TimeCurrentTimetable_sigstats_SNR,TimeCurrentTimetable_sigstats_ShapeFactor,TimeCurrentTimetable_sigstats_Skewness,TimeCurrentTimetable_sigstats_Std,TimeVoltageTimetable_sigstats_ClearanceFactor,TimeVoltageTimetable_sigstats_CrestFactor,TimeVoltageTimetable_sigstats_ImpulseFactor,TimeVoltageTimetable_sigstats_Kurtosis,TimeVoltageTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue_FeatureTableV12,TimeVoltageTimetable_sigstats_RMS,TimeVoltageTimetable_sigstats_SINAD,TimeVoltageTimetable_sigstats_SNR,TimeVoltageTimetable_sigstats_ShapeFactor,TimeVoltageTimetable_sigstats_Skewness,TimeVoltageTimetable_sigstats_Std
380,1.31211726283464,1.15045388203098,1.23417098271765,2.8268409341818,2.02585445913309,2.50018,2.17323716345738,-3.05057604778838,-2.87908695850764,1.07276176149141,-1.24157499436214,0.787651531786031,1.09034589404927,1.08388369612901,1.08812168738715,2.6328460184726,3.8598816992658,4.20002,3.87497386610906,4.08789945919882,4.08789945919882,1.00391000658113,-0.782901563073636,0.342116961829053
382,1.31377703774112,1.15117163301892,1.23537198305506,2.81048739428522,2.02388974496899,2.50018,2.17188426744232,-3.03837627369368,-2.88268815588715,1.07313560123982,-1.23545226705142,0.788967350223984,1.09024973654781,1.08378732522246,1.08802536201036,2.63386888350848,3.86022349908225,4.20002,3.87531850732149,3.88828224004022,3.88828224004022,1.00391039635736,-0.784269461569178,0.342164449898875
385,1.31626670010084,1.15224825950081,1.23717348356118,2.78595708444035,2.02094267372285,2.50018,2.16985492341974,-3.02007661255162,-2.88808995195641,1.07369636086243,-1.22626817608534,0.790941077880914,1.09010550029562,1.08364276886265,1.08788087394518,2.6354031810623,3.86073619880693,4.20002,3.87583546914012,3.58885641130232,3.58885641130232,1.00391098102171,-0.786321309312489,0.342235682003609
387,1.31792647500732,1.15296601048875,1.23837448389859,2.76960354454377,2.01897795955875,2.50018,2.16850202740468,-3.00787683845692,-2.89169114933593,1.07407020061084,-1.22014544877462,0.792256896318867,1.09000934279416,1.0835463979561,1.08778454856839,2.63642604609818,3.86107799862338,4.20002,3.87618011035255,3.38923919214372,3.38923919214372,1.00391137079794,-0.787689207808031,0.342283170073431
389,1.3195862499138,1.15368376147668,1.23957548423601,2.75325000464719,2.01701324539466,2.50018,2.16714913138963,-2.99567706436222,-2.89529234671544,1.07444404035925,-1.2140227214639,0.793572714756819,1.0899131852927,1.08345002704956,1.0876882231916,2.63744891113406,3.86141979843983,4.20002,3.87652475156497,3.18962197298511,3.18962197298511,1.00391176057418,-0.789057106303572,0.342330658143254
391,1.32124602482027,1.15440151246461,1.24077648457342,2.7368964647506,2.01504853123056,2.50018,2.16579623537457,-2.98347729026751,-2.89889354409495,1.07481788010766,-1.20789999415317,0.794888533194772,1.08981702779124,1.08335365614302,1.08759189781482,2.63847177616994,3.86176159825628,4.20002,3.87686939277739,2.99000475382651,2.99000475382651,1.00391215035041,-0.790425004799113,0.342378146213076
393,1.32290579972675,1.15511926345255,1.24197748491084,2.72054292485402,2.01308381706647,2.50018,2.16444333935952,-2.97127751617281,-2.90249474147446,1.07519171985607,-1.20177726684245,0.796204351632725,1.08972087028978,1.08325728523647,1.08749557243803,2.63949464120582,3.86210339807273,4.20002,3.87721403398982,2.79038753466791,2.79038753466791,1.00391254012665,-0.791792903294655,0.342425634282899
395,1.32456557463323,1.15583701444048,1.24317848524825,2.70418938495744,2.01111910290237,2.50018,2.16309044334446,-2.95907774207811,-2.90609593885397,1.07556555960448,-1.19565453953173,0.797520170070678,1.08962471278832,1.08316091432993,1.08739924706124,2.6405175062417,3.86244519788918,4.20002,3.87755867520224,2.59077031550931,2.59077031550931,1.00391292990288,-0.793160801790196,0.342473122352721
397,1.32549400122739,1.15622323965191,1.24384222792904,2.69550935628198,2.01005190328283,2.50018,2.16237040932791,-3.09296456252801,-3.02641309815127,1.0757795876355,-1.19233075045312,0.798254022119275,1.08949054643717,1.0830364379678,1.08726843972608,2.64030061730077,3.8629104695599,4.20002,3.87800487217323,2.60228591185285,2.60228591185285,1.00390752753002,-0.793836021160968,0.342277070123211
399,1.32642242782156,1.15660946486334,1.24450597060983,2.68682932760652,2.00898470366328,2.50018,2.16165037531137,-3.22685138297791,-3.14673025744857,1.07599361566652,-1.1890069613745,0.798987874167873,1.08935638008602,1.08291196160566,1.08713763239093,2.64008372835984,3.86337574123061,4.20002,3.87845106914422,2.61380150819638,2.61380150819638,1.00390212515717,-0.794511240531739,0.342081017893701
401,1.32735085441572,1.15699569007476,1.24516971329062,2.67814929893107,2.00791750404374,2.50018,2.16093034129482,-3.36073820342781,-3.26704741674587,1.07620764369754,-1.18568317229589,0.79972172621647,1.08922221373487,1.08278748524353,1.08700682505577,2.63986683941891,3.86384101290133,4.20002,3.87889726611521,2.62531710453992,2.62531710453992,1.00389672278431,-0.795186459902511,0.341884965664191
403,1.32827928100989,1.15738191528619,1.24583345597142,2.66946927025561,2.0068503044242,2.50018,2.16021030727828,-3.49462502387771,-3.38736457604318,1.07642167172856,-1.18235938321727,0.800455578265068,1.08908804738372,1.0826630088814,1.08687601772062,2.63964995047798,3.86430628457205,4.20002,3.87934346308619,2.63683270088345,2.63683270088345,1.00389132041146,-0.795861679273283,0.341688913434682
405,1.32920770760405,1.15776814049762,1.24649719865221,2.66078924158015,2.00578310480466,2.50018,2.15949027326173,-3.62851184432761,-3.50768173534048,1.07663569975958,-1.17903559413866,0.801189430313665,1.08895388103257,1.08253853251926,1.08674521038546,2.63943306153705,3.86477155624276,4.20002,3.87978966005718,2.64834829722699,2.64834829722699,1.0038859180386,-0.796536898644055,0.341492861205172
408,1.3306003474953,1.15834747831476,1.24749281267339,2.64776919856696,2.00418230537534,2.50018,2.15841022223691,-3.82934207500247,-3.68815747428643,1.07695674180611,-1.17404991052074,0.802290208386561,1.08875263150584,1.08235181797607,1.08654899938273,2.63910772812565,3.86546946374884,4.20002,3.88045895551367,2.66562169174229,2.66562169174229,1.00387781447932,-0.797549727700212,0.341198782860907
410,1.33152877408946,1.15873370352619,1.24815655535418,2.6390891698915,2.0031151057558,2.50018,2.15769018822036,-3.96322889545237,-3.80847463358373,1.07717076983713,-1.17072612144213,0.803024060435159,1.08861846515469,1.08222734161393,1.08641819204757,2.63889083918472,3.86593473541955,4.20002,3.88090515248466,2.67713728808583,2.67713728808583,1.00387241210646,-0.798224947070984,0.341002730631397
412,1.33245720068363,1.15911992873762,1.24882029803498,2.63040914121604,2.00204790613626,2.50018,2.15697015420382,-4.09711571590227,-3.92879179288103,1.07738479786815,-1.16740233236351,0.803757912483756,1.08848429880354,1.0821028652518,1.08628738471242,2.63867395024379,3.86640000709027,4.20002,3.88135134945564,2.68865288442936,2.68865288442936,1.00386700973361,-0.798900166441756,0.340806678401887
414,1.33338562727779,1.15950615394904,1.24948404071577,2.62172911254059,2.00098070651672,2.50018,2.15625012018727,-4.23100253635217,-4.04910895217834,1.07759882589917,-1.1640785432849,0.804491764532353,1.08835013245239,1.08197838888967,1.08615657737726,2.63845706130286,3.86686527876099,4.20002,3.88179754642663,2.7001684807729,2.7001684807729,1.00386160736075,-0.799575385812528,0.340610626172378
416,1.33431405387196,1.15989237916047,1.25014778339656,2.61304908386513,1.99991350689717,2.50018,2.15553008617073,-4.36488935680207,-4.16942611147564,1.07781285393019,-1.16075475420628,0.805225616580951,1.08821596610124,1.08185391252753,1.08602577004211,2.63824017236193,3.8673305504317,4.20002,3.88224374339762,2.71168407711643,2.71168407711643,1.0038562049879,-0.800250605183299,0.340414573942868
418,1.33524248046612,1.1602786043719,1.25081152607735,2.60436905518967,1.99884630727763,2.50018,2.15481005215418,-4.49877617725197,-4.28974327077294,1.07802688196121,-1.15743096512767,0.805959468629548,1.08808179975009,1.0817294361654,1.08589496270695,2.638023283421,3.86779582210242,4.20002,3.88268994036861,2.72319967345997,2.72319967345997,1.00385080261504,-0.800925824554071,0.340218521713358
420,1.33724973938979,1.16117215973467,1.25228584196046,2.58765271416063,1.99652180063386,2.50018,2.15316515472088,-4.584071356125,-4.39167094658118,1.07846346068132,-1.15049722164586,0.807299574964123,1.0879008291892,1.08155390217581,1.08571576104495,2.63972580540752,3.86843532533609,4.20002,3.88332116871102,2.77782634527144,2.77782634527144,1.0038480317567,-0.803060896859124,0.340152193654926
