Cycle,TimeCurrentTimetable_sigstats_ClearanceFactor,TimeCurrentTimetable_sigstats_CrestFactor,TimeCurrentTimetable_sigstats_ImpulseFactor,TimeCurrentTimetable_sigstats_Kurtosis,TimeCurrentTimetable_sigstats_Mean,TimeCurrentTimetable_sigstats_PeakValue,TimeCurrentTimetable_sigstats_RMS,TimeCurrentTimetable_sigstats_SINAD,TimeCurrentTimetable_sigstats_SNR,TimeCurrentTimetable_sigstats_ShapeFactor,TimeCurrentTimetable_sigstats_Skewness,TimeCurrentTimetable_sigstats_Std,TimeVoltageTimetable_sigstats_ClearanceFactor,TimeVoltageTimetable_sigstats_CrestFactor,TimeVoltageTimetable_sigstats_ImpulseFactor,TimeVoltageTimetable_sigstats_Kurtosis,TimeVoltageTimetable_sigstats_Mean,TimeVoltageTimetable_sigstats_PeakValue,TimeVoltageTimetable_sigstats_RMS,TimeVoltageTimetable_sigstats_SINAD,TimeVoltageTimetable_sigstats_SNR,TimeVoltageTimetable_sigstats_ShapeFactor,TimeVoltageTimetable_sigstats_Skewness,TimeVoltageTimetable_sigstats_Std
95,1.71936515321141,1.32577225016887,1.53123358685561,1.33733612182339,1.64248163776338,2.50011,1.89097271716153,16.8662745743292,16.8662745743292,1.1534526078889,-0.334610760564986,0.934915661706642,1.04721725272302,1.04426431564427,1.0462051057466,3.35707324947974,4.01464663352175,4.19996,4.02210154515777,-0.0245648206343063,-0.0245648206343063,1.00185773488533,-1.17750896416927,0.244943380125845
98,1.74495540732447,1.33668560884225,1.54986704735681,1.31859546644613,1.62327354762563,2.50011,1.87582250477605,20.7254747231162,20.7254747231162,1.15789075198438,-0.298922233712976,0.937765582449548,1.04613667487977,1.0432155296227,1.04513475002599,3.46118944250495,4.01876800936615,4.19996,4.02615463134959,-0.315208765179637,-0.315208765179637,1.0018388821479,-1.21858700768443,0.243935148391485
102,1.7790757461419,1.35123675374009,1.57471166135841,1.29360792594312,1.59766276077531,2.50011,1.85562222159543,25.8710749214989,25.8710749214989,1.16380827744502,-0.251337531243629,0.941565476773423,1.0446959044221,1.04181714826062,1.04370760906518,3.60001103320521,4.02426317715867,4.19996,4.03155874627202,-0.702734024573413,-0.702734024573413,1.00181374516465,-1.27335773237131,0.242590839412339
105,1.80466600025496,1.36215011241347,1.59334512185961,1.27486727056586,1.57845467063756,2.50011,1.84047200920995,29.7302750702859,29.7302750702859,1.1682464215405,-0.215649004391619,0.944415397516329,1.04361532657885,1.04076836223905,1.04263725334457,3.70412722623042,4.02838455300307,4.19996,4.03561183246384,-0.993377969118744,-0.993377969118744,1.00179489242722,-1.31443577588647,0.241582607677979
109,1.83878633907239,1.37670125731131,1.61818973586121,1.24987973006285,1.55284388378724,2.50011,1.82027172602933,34.8758752686685,34.8758752686685,1.17416394700114,-0.168064301922273,0.948215291840204,1.04217455612119,1.03936998087697,1.04121011238376,3.84294881693069,4.0338797207956,4.19996,4.04101594738627,-1.38090322851252,-1.38090322851252,1.00176975544397,-1.36920650057335,0.240238298698833
113,1.87290667788981,1.39125240220914,1.64303434986282,1.22489218955985,1.52723309693692,2.50011,1.8000714428487,40.0214754670512,40.0214754670512,1.18008147246178,-0.120479599452926,0.95201518616408,1.04073378566352,1.03797159951488,1.03978297142296,3.98177040763096,4.03937488858813,4.19996,4.04642006230869,-1.76842848790629,-1.76842848790629,1.00174461846073,-1.42397722526022,0.238893989719686
116,1.89849693200288,1.40216576088252,1.66166781036402,1.20615153418259,1.50802500679917,2.50011,1.78492123046323,43.8806756158382,43.8806756158382,1.18451961655726,-0.0847910726009165,0.954865106906986,1.03965320782027,1.03692281349332,1.03871261570235,4.08588660065616,4.04349626443253,4.19996,4.05047314850051,-2.05907243245163,-2.05907243245163,1.00172576572329,-1.46505526877538,0.237885757985326
120,1.9326172708203,1.41671690578036,1.68651242436562,1.18116399367958,1.48241421994885,2.50011,1.7647209472826,49.0262758142209,49.0262758142209,1.1904371420179,-0.03720637013157,0.958665001230861,1.03821243736261,1.03552443213123,1.03728547474154,4.22470819135643,4.04899143222506,4.19996,4.05587726342294,-2.4465976918454,-2.4465976918454,1.00170062874005,-1.51982599346226,0.23654144900618
124,1.99663657611806,1.44578624597911,1.73561365752015,1.22694012958798,1.44898710687116,2.50011,1.73467587063112,44.1411917585966,44.1611279765707,1.19892719904873,0.0292826277470486,0.953820098665735,1.03674986867149,1.03416664639472,1.03585910740517,4.35866204216882,4.05463681448026,4.19996,4.06126601116504,-2.23593981798866,-2.11926104992393,1.00163577944944,-1.56279985812258,0.231754963544163
127,2.04465105509139,1.46758825112817,1.77243958238605,1.26127223151927,1.4239167720629,2.50011,1.7121420631425,40.4773787168783,40.512267098333,1.20529474182186,0.0791493761560125,0.950186421741891,1.03565294215316,1.03314830709234,1.03478933190289,4.45912743027812,4.05887085117166,4.19996,4.06530757197161,-2.0779464125961,-1.87375856848282,1.00158714248148,-1.59503025661782,0.228165099447651
131,2.10867036038915,1.49665759132692,1.82154081554057,1.30704836742767,1.39048965898521,2.50011,1.68209698649102,35.592294661254,35.6471192606827,1.21378479885269,0.145638374034631,0.945341519176765,1.03419037346204,1.03179052135582,1.03336296456651,4.59308128109052,4.06451623342686,4.19996,4.0706963197137,-1.86728853873936,-1.54642192656135,1.00152229319087,-1.63800412127814,0.223378613985634
135,2.17268966568691,1.52572693152567,1.8706420486951,1.35282450333607,1.35706254590752,2.50011,1.65205190983954,30.7072106056297,30.7819714230325,1.22227485588353,0.21212737191325,0.94049661661164,1.03272780477092,1.03043273561931,1.03193659723014,4.72703513190291,4.07016161568206,4.19996,4.0760850674558,-1.65663066488262,-1.21908528463988,1.00145744390026,-1.68097798593846,0.218592128523617
138,2.22070414466023,1.54752893667473,1.907467973561,1.38715660526737,1.33199221109925,2.50011,1.62951810235093,27.0433975639114,27.1331105447948,1.22864239865665,0.261994120322214,0.936862939687795,1.03163087825259,1.02941439631693,1.03086682172786,4.82750052001221,4.07439565237346,4.19996,4.08012662826237,-1.49863725949007,-0.97358280319877,1.0014088069323,-1.7132083844337,0.215002264427105
142,2.284723449958,1.57659827687348,1.95656920671553,1.43293274117576,1.29856509802157,2.50011,1.59947302569944,22.1583135082871,22.2679627071446,1.23713245568749,0.328483118200832,0.93201803712267,1.03016830956147,1.02805661058042,1.02944045439148,4.9614543708246,4.08004103462867,4.19996,4.08551537600447,-1.28797938563333,-0.646246161277297,1.00134395764169,-1.75618224909403,0.210215778965088
145,2.33273792893132,1.59840028202255,1.99339513158143,1.46726484310706,1.2734947632133,2.50011,1.57693921821083,18.4945004665688,18.6191018289069,1.24349999846061,0.378349866609796,0.928384360198825,1.02907138304314,1.02703827127804,1.0283706788892,5.0619197589339,4.08427507132007,4.19996,4.08955693681104,-1.12998598024077,-0.400743679836192,1.00129532067373,-1.78841264758927,0.206625914868576
149,2.39675723422908,1.6274696222213,2.04249636473596,1.51304097901546,1.24006765013561,2.50011,1.54689414155935,13.6094164109445,13.7539539912567,1.25199005549145,0.444838864488415,0.9235394576337,1.02760881435202,1.02568048554153,1.02694431155283,5.19587360974629,4.08992045357527,4.19996,4.09494568455314,-0.919328106384033,-0.0734070379147186,1.00123047138312,-1.83138651224959,0.201839429406559
153,2.46077653952684,1.65653896242005,2.09159759789048,1.55881711492386,1.20664053705792,2.50011,1.51684906490787,8.72433235532016,8.88880615360644,1.26048011252228,0.511327862367033,0.918694555068574,1.0261462456609,1.02432269980501,1.02551794421645,5.32982746055869,4.09556583583047,4.19996,4.10033443229523,-0.708670232527293,0.253929604006755,1.00116562209251,-1.87436037690991,0.197052943944542
156,2.50879101850017,1.67834096756911,2.12842352275638,1.59314921685515,1.18157020224966,2.50011,1.49431525741925,5.06051931360191,5.23994527536876,1.26684765529541,0.561194610775998,0.91506087814473,1.02504931914257,1.02330436050263,1.02444816871417,5.43029284866798,4.09979987252187,4.19996,4.1043759931018,-0.550676827134737,0.49943208544786,1.00111698512455,-1.90659077540515,0.19346307984803
160,2.57281032379793,1.70741030776786,2.17752475591091,1.63892535276355,1.14814308917197,2.50011,1.46427018076777,0.175435257977582,0.374797437718522,1.27533771232624,0.627683608654616,0.910215975579604,1.02358675045145,1.02194657476612,1.0230218013778,5.56424669948038,4.10544525477707,4.19996,4.1097647408439,-0.340018953277997,0.826768727369333,1.00105213583394,-1.94956464006547,0.188676594386013
